,Name,Year,Mileage,Price,Location,Link,Description
0,Chevrolet Spark Lt,2015,65960,10998.0,Carignan,https://www.hgregoire.com/auto-usage/chevrolet-spark-2015-a-vendre-13929530,N/A
1,Kia Soul Luxury,2016,77800,13998.0,Vaudreuil-Dorion,https://www.hgregoire.com/auto-usage/kia-soul-2016-a-vendre-13930061,N/A
2,Smart Fortwo Passion,2018,15800,14798.0,Saint-Eustache,https://www.hgregoire.com/auto-usage/smart-fortwo-2018-a-vendre-13821753,N/A
3,Toyota Rav4 Hybrid Le+,2017,103574,22998.0,Carignan,https://www.hgregoire.com/auto-usage/toyota-rav4-hybrid-2017-a-vendre-446015,N/A
4,Toyota Prius ,2018,-1,23895.0,Saint-Léonard,https://www.hgregoire.com/auto-usage/toyota-prius-2018-a-vendre-13976187,N/A
5,Kia Niro ,2019,11555,24495.0,Chicoutimi,https://www.hgregoire.com/auto-usage/kia-niro-2019-a-vendre-5897467,N/A
6,Mitsubishi Outlander Phev Se,2018,57374,25995.0,Drummondville,https://www.hgregoire.com/auto-usage/mitsubishi-outlander-phev-2018-a-vendre-13932615,N/A
7,Mitsubishi Outlander Phev ,2018,60579,26495.0,Chicoutimi,https://www.hgregoire.com/auto-usage/mitsubishi-outlander-phev-2018-a-vendre-13826735,N/A
8,Toyota Rav4 Hybrid ,2017,70702,27495.0,Laval,https://www.hgregoire.com/auto-usage/toyota-rav4-hybrid-2017-a-vendre-13832004,N/A
9,Hyundai Ioniq ,2020,8894,28695.0,Chicoutimi,https://www.hgregoire.com/auto-usage/hyundai-ioniq-2020-a-vendre-453992,N/A
10,Toyota Camry Hybrid Se,2019,57565,28895.0,Saint-Jérôme,https://www.hgregoire.com/auto-usage/toyota-camry-2019-a-vendre-13960932,N/A
11,Kia Optima Ex,2020,18397,28995.0,Victoriaville,https://www.hgregoire.com/auto-usage/kia-optima-2020-a-vendre-13926342,N/A
12,Audi A3 Premium,2018,32279,30998.0,Saint-Eustache,https://www.hgregoire.com/auto-usage/audi-a3-2018-a-vendre-450344,N/A
13,Kia Soul Ev Premium,2020,20455,31498.0,Vaudreuil-Dorion,https://www.hgregoire.com/auto-usage/kia-soul-2020-a-vendre-451789,N/A
14,Lincoln Mkz Select,2019,37028,33995.0,Saint-Jérôme,https://www.hgregoire.com/auto-usage/lincoln-mkz-2019-a-vendre-13831733,N/A
15,Toyota Rav 4 Hybrid Le,2019,31500,36425.0,Candiac,https://www.hgregoire.com/auto-usage/toyota-rav-4-2019-a-vendre-13932862,N/A
16,Toyota Rav 4 ,2019,42319,37595.0,Chicoutimi,https://www.hgregoire.com/auto-usage/toyota-rav-4-2019-a-vendre-13833021,N/A
17,Mercedes Benz Glc Glc 350E,2018,72577,39498.0,Saint-Léonard,https://www.hgregoire.com/auto-usage/mercedes-benz-glc-2018-a-vendre-450898,N/A
18,Tesla Model S ,2016,98742,52998.0,Saint-Léonard,https://www.hgregoire.com/auto-usage/tesla-model-s-2016-a-vendre-371287,N/A
19,Tesla Model 3 Long Range,2021,198,72595.0,Drummondville,https://www.hgregoire.com/auto-usage/tesla-model-3-2021-a-vendre-13975977,N/A
20,Tesla Model 3 Long Range,2021,154,72595.0,Drummondville,https://www.hgregoire.com/auto-usage/tesla-model-3-2021-a-vendre-13976696,N/A
21,Toyota Prius C Hybrid ,2016,97000,15700.0,TBD,https://mtlautoprix.com/inventaire-vehicules/toyota-prius-c-hybrid-2016-b0569/,N/A
